City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
640,Parrita,CR,77.0,scattered clouds,9.52,-84.32,Beso del Viento
641,Sao Gabriel Da Cachoeira,BR,75.2,moderate rain,-0.13,-67.09,Alarne - Área De Lazer Do Alto Rio Negro
645,Duekoue,CI,82.42,broken clouds,6.75,-7.35,Résidence Doué
647,Tsumeb,,84.22,light rain,-19.23,17.72,TeaterHuis Guest House
650,Hobyo,SO,82.0,moderate rain,5.35,48.53,Osmani Hotel
651,Pringsewu,ID,74.12,heavy intensity rain,-5.36,104.97,Urban Style by Front One
652,Santa Rosa,PH,80.01,broken clouds,14.31,121.11,Erlyn’s Sta Rosa City Home
655,Yilan,TW,71.6,few clouds,24.76,121.75,Dar Chen Hotel
656,Doka,SD,82.13,overcast clouds,13.52,35.77,
658,Doha,QA,82.4,clear sky,25.29,51.53,Doha Marriott Hotel
660,Nguru,NG,86.38,few clouds,12.88,10.45,Government Lodge
661,Manokwari,ID,80.33,light rain,-0.87,134.08,Swiss Belhotel Manokwari
663,Itamaraca,BR,84.2,scattered clouds,-7.75,-34.83,Special K's Bed & Breakfast
665,Sur,OM,71.37,clear sky,22.57,59.53,Sur Plaza Hotel
666,Buriti Alegre,BR,83.34,light rain,-18.14,-49.04,Andrey Hotel Churrascaria
669,Tombouctou,ML,88.74,overcast clouds,20.0,-3.0,
671,Maceio,BR,86.0,scattered clouds,-9.67,-35.74,Mercure Maceio Pajucara Hotel
676,Edgewater,US,82.99,broken clouds,28.99,-80.9,Islander Beach Resort
678,Baixo Guandu,BR,70.92,light rain,-19.52,-41.02,Hotel e Restaurante Barbosa
679,San Jose,US,71.01,haze,37.34,-121.89,The Westin San Jose
682,Manaus,BR,89.6,scattered clouds,-3.1,-60.02,Hotel do Largo
683,Banda Aceh,ID,80.6,light rain,5.56,95.32,OYO 884 Rumoh PMI Hotel
686,Myitkyina,MM,70.81,light rain,25.38,97.4,Shwe Phyu Hotel
690,Palmas,BR,84.2,thunderstorm,-10.21,-48.36,Hotel Lago da Palma
