City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
237,Bria,CF,70.36,overcast clouds,6.54,21.99,
239,Kpandae,GH,74.5,overcast clouds,8.47,-0.01,S. Amaski Guest House
240,Victoria,HK,75.99,overcast clouds,22.29,114.16,Mini Hotel Central
246,Bhadrachalam,IN,78.37,scattered clouds,17.67,80.88,Hotel Srinidhi Residency
247,San Patricio,US,78.8,broken clouds,28.02,-97.52,"Motel 6 Sinton, TX"
249,Aswan,EG,72.82,clear sky,24.09,32.91,Nuba Nile
250,Dakar,SN,82.4,broken clouds,14.69,-17.44,Novotel Dakar
253,Sao Joao Da Barra,BR,72.79,broken clouds,-21.64,-41.05,Pousada Porto De Canoas
254,Gamba,GA,76.23,overcast clouds,-2.65,10.0,
255,Bilma,NE,73.54,clear sky,18.69,12.92,Expeditions Ténére voyages
258,Pauini,BR,75.15,broken clouds,-7.71,-66.98,Casa do Kiwliks
262,Cassilandia,BR,73.98,light rain,-19.11,-51.73,Hotel Rafa Cassilândia
263,Sao Felix Do Xingu,BR,73.54,moderate rain,-6.64,-51.99,Apart Hotel Rio Xingu
264,Kavieng,PG,84.81,broken clouds,-2.57,150.8,Nusa Island Retreat
267,Bambous Virieux,MU,77.0,scattered clouds,-20.34,57.76,Casa Tia Villa
268,Bosobolo,CD,70.41,broken clouds,4.18,19.9,
274,Alofi,NU,80.6,broken clouds,-19.06,-169.92,Taloa Heights
276,Tessalit,ML,80.13,clear sky,20.2,1.01,
278,Razole,IN,84.04,scattered clouds,16.48,81.83,Sterling Palavelli Godavari
286,Iralaya,HN,79.83,moderate rain,15.0,-83.23,Iglesia morava renovada
287,Muli,MV,82.06,scattered clouds,2.92,73.57,Medhufushi Island Resort
288,Aitape,PG,86.97,light rain,-3.14,142.35,
290,Omboue,GA,76.23,overcast clouds,-1.57,9.26,Hotel Olako
293,Kieta,PG,84.04,light rain,-6.22,155.63,
297,Pokhara,NP,74.32,clear sky,28.23,83.98,Hotel View Point
301,Banda Aceh,ID,86.59,light rain,5.56,95.32,OYO 884 Rumoh PMI Hotel
302,Taoudenni,ML,84.18,broken clouds,22.68,-3.98,
303,Pochutla,MX,81.0,light rain,15.74,-96.47,Hotel Posada San Jose
305,Tarakan,ID,82.33,moderate rain,3.3,117.63,RedDoorz Syariah near Taman Berlabuh Tarakan
306,Qandala,SO,78.96,broken clouds,11.47,49.87,
307,Tombouctou,ML,86.2,few clouds,20.0,-3.0,
310,Dingle,PH,78.6,overcast clouds,11.0,122.67,Camp Pasica
312,Guabito,PA,78.87,overcast clouds,9.5,-82.62,Cabinas Sanchez Salazar
316,Abu Dhabi,AE,75.2,clear sky,24.47,54.37,Beach Rotana
317,Flinders,AU,75.0,light rain,-34.58,150.86,Shellharbour Resort & Conference Centre
319,Poum,NC,78.33,clear sky,-20.23,164.02,Gîte kajeon
321,Kilindoni,TZ,78.98,scattered clouds,-7.91,39.67,Bustani B&B
324,Jodhpur,IN,82.09,clear sky,26.29,73.03,"Umaid Bhawan Palace, Jodhpur"
327,Sampit,ID,89.46,moderate rain,-2.53,112.95,Aquarius Boutique Hotel Sampit
328,Abu Zabad,SD,77.45,scattered clouds,12.35,29.25,محي الدين نوري
334,Monrovia,LR,73.4,broken clouds,6.3,-10.8,Eco-Hotel Hall & Restaurant
335,Tenosique,MX,75.25,overcast clouds,17.48,-91.43,Hotel Central
339,Macherla,IN,80.06,clear sky,16.48,79.43,BHR
340,Cartagena Del Chaira,CO,73.76,overcast clouds,1.33,-74.84,HOTEL LA ROCA
347,Pasni,PK,74.3,clear sky,25.26,63.47,3G hotel pasni
348,Vao,NC,73.81,clear sky,-22.67,167.48,Hotel Kou-Bugny
349,Tual,ID,82.62,light rain,-5.67,132.75,Grand Vilia Hotel
351,Iberia,US,71.6,few clouds,29.95,-91.75,back to back rv park
353,Warri,NG,75.15,overcast clouds,5.52,5.75,BON Hotel Delta
354,Altamira,BR,75.56,clear sky,-3.2,-52.21,Requinte Hotel
