City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
83,Port Blair,IN,11.67,92.75,84.02,74,30,8.43,scattered clouds
84,Santa Luzia,BR,-19.77,-43.85,66.2,77,75,10.29,broken clouds
85,Grand Gaube,MU,-20.01,57.66,75.99,64,66,5.99,broken clouds
86,Gilgit,PK,35.92,74.31,59.61,31,0,2.24,clear sky
87,Hermanus,ZA,-34.42,19.23,63.0,92,71,3.91,broken clouds
88,Atuona,PF,-9.8,-139.03,78.69,75,0,19.35,clear sky
89,Atar,MR,20.52,-13.05,82.94,30,99,10.54,overcast clouds
90,Piacabucu,BR,-10.41,-36.43,76.48,86,5,10.04,clear sky
91,Port Elizabeth,ZA,-33.92,25.57,68.0,94,90,14.99,mist
92,Kununurra,AU,-15.77,128.73,96.8,39,33,6.93,scattered clouds
93,Christchurch,NZ,-43.53,172.63,66.2,55,0,13.87,clear sky
94,Iquitos,PE,-3.75,-73.25,71.6,94,40,1.25,scattered clouds
95,Najran,SA,17.49,44.13,59.0,30,0,1.74,clear sky
96,Guarda,PT,40.54,-7.27,37.99,70,0,11.01,clear sky
97,Saskylakh,RU,71.92,114.08,16.77,96,100,11.01,light snow
98,Abnub,EG,27.27,31.15,69.8,52,0,10.29,clear sky
99,Pacific Grove,US,36.62,-121.92,60.01,91,88,2.51,overcast clouds
100,Nabire,ID,-3.37,135.48,82.04,73,85,5.68,overcast clouds
101,Sambava,MG,-14.27,50.17,71.89,78,0,9.91,clear sky
102,Ostrovnoy,RU,68.05,39.51,29.34,97,100,6.26,overcast clouds
103,Bethel,US,41.37,-73.41,60.01,89,97,4.88,overcast clouds
104,Kapaa,US,22.08,-159.32,80.01,59,9,5.82,light rain
105,Grand-Santi,GF,4.25,-54.38,72.81,96,26,2.21,scattered clouds
106,Luderitz,NA,-26.65,15.16,58.73,80,1,8.55,clear sky
107,Katsuura,JP,35.13,140.3,66.2,48,40,10.29,scattered clouds
108,Seoul,KR,37.57,126.98,51.8,27,1,4.7,clear sky
109,Yumen,CN,40.28,97.2,51.08,36,0,4.99,clear sky
110,Saint-Augustin,CA,51.23,-58.65,34.79,82,82,2.15,broken clouds
111,Macapa,BR,0.04,-51.07,84.2,74,20,13.87,few clouds
112,Vostok,RU,46.49,135.88,27.97,100,100,13.29,light snow
113,Porto-Vecchio,FR,41.59,9.28,66.2,93,75,11.41,broken clouds
114,Mount Isa,AU,-20.73,139.5,91.4,41,40,10.29,scattered clouds
115,Cherdyn,RU,60.4,56.48,23.99,95,100,11.52,light snow
116,Yermakovskoye,RU,53.28,92.4,38.37,92,100,2.24,overcast clouds
117,Budogoshch,RU,59.28,32.47,37.09,83,46,5.93,scattered clouds
118,Chuy,UY,-33.7,-53.46,61.38,98,48,3.85,scattered clouds
119,Nanortalik,GL,60.14,-45.24,34.16,89,97,0.43,overcast clouds
120,Esperance,AU,-33.87,121.9,62.6,67,90,8.05,overcast clouds
121,Saldanha,ZA,-33.01,17.94,59.0,87,19,5.82,few clouds
122,Srednekolymsk,RU,67.45,153.68,22.69,92,0,3.0,clear sky
123,Saint Anthony,US,45.02,-93.22,33.8,97,90,12.75,overcast clouds
124,Saint George,US,37.1,-113.58,64.4,22,1,3.13,clear sky
125,Yulara,AU,-25.24,130.99,69.8,43,40,8.05,scattered clouds
126,Korla,CN,41.76,86.15,57.06,32,100,3.24,overcast clouds
127,Auki,SB,-8.77,160.7,84.2,77,70,4.72,moderate rain
128,Veraval,IN,20.9,70.37,82.4,50,0,5.01,clear sky
